country,sex,nbsellers,meanproductssold,meanproductslisted,meansellerpassrate,totalproductssold,totalproductslisted,meanproductsbought,meanproductswished,meanproductsliked,totalbought,totalwished,totalproductsliked,meanfollowers,meanfollows,percentofappusers,percentofiosusers,meanseniority
Chine,Female,3,0.67,1.0,33.33,2,3,24.67,1.67,133.33,74,5,400,11.3,9.7,66.0,66.0,3085.3333333333335
Chypre,Female,5,11.2,16.4,55.4,56,82,0.0,4.2,99.0,0,21,495,19.2,10.0,60.0,40.0,3130.6
Chypre,Male,1,0.0,1.0,0.0,0,1,0.0,0.0,49.0,0,0,49,8.0,8.0,100.0,100.0,3199.0
Croatie,Female,10,10.7,6.9,32.6,107,69,0.8,4.7,21.4,8,47,214,15.1,8.8,60.0,40.0,3061.7
Danemark,Female,22,1.64,1.0,6.5,36,22,3.5,90.32,175.41,77,1987,3859,8.9,9.5,59.0,59.0,3043.909090909091
Danemark,Male,6,2.33,1.17,40.17,14,7,1.33,3.17,18.83,8,19,113,6.0,8.0,66.0,66.0,3141.8333333333335
Espagne,Female,133,5.91,3.86,29.52,786,514,2.98,37.66,104.8,397,5009,13938,13.7,14.1,66.0,49.0,3075.533834586466
Espagne,Male,30,6.8,5.1,36.01,204,153,0.8,4.5,15.23,24,135,457,11.0,8.1,80.0,63.0,3108.0666666666666
Estonie,Female,3,1.0,3.33,0.0,3,10,0.33,0.33,1.0,1,1,3,11.3,8.3,66.0,33.0,3084.6666666666665
Estonie,Male,1,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0,6.0,8.0,100.0,100.0,3198.0
Etats-Unis,Female,182,4.49,4.5,25.4,817,819,3.25,18.03,46.79,592,3282,8516,11.6,12.5,52.0,50.0,3033.2252747252746
Etats-Unis,Male,41,3.66,3.49,30.31,150,143,0.88,3.34,8.12,36,137,333,13.0,9.0,60.0,58.0,3065.7804878048782
Finlande,Female,8,2.5,1.25,32.13,20,10,12.63,31.13,23.75,101,249,190,7.6,9.8,75.0,75.0,3157.0
France,Female,733,3.23,2.39,25.29,2365,1749,1.03,6.25,22.01,757,4583,16133,8.0,22.4,56.0,46.0,3061.4529331514323
France,Male,233,2.79,2.12,25.89,649,493,2.26,4.14,19.57,526,965,4559,6.9,24.7,59.0,49.0,3066.8197424892705
Grèce,Female,14,2.14,5.57,36.36,30,78,1.29,5.79,42.07,18,81,589,13.4,9.5,64.0,50.0,3053.214285714286
Grèce,Male,2,0.5,1.5,0.0,1,3,0.0,0.5,3.0,0,1,6,7.5,8.0,50.0,50.0,3026.0
Hong Kong,Female,14,2.5,4.43,13.29,35,62,3.5,61.21,461.79,49,857,6465,10.9,14.1,57.0,50.0,3026.5
Hong Kong,Male,3,5.0,1.33,43.0,15,4,7.0,90.33,35.33,21,271,106,9.0,8.3,100.0,100.0,3087.3333333333335
Hongrie,Female,1,0.0,3.0,0.0,0,3,8.0,80.0,97.0,8,80,97,3.0,8.0,,,2856.0
Irlande,Female,8,2.0,1.13,28.25,16,9,3.0,18.88,50.38,24,151,403,7.1,8.3,37.0,12.0,3157.5
Islande,Female,1,1.0,2.0,0.0,1,2,1.0,15.0,15.0,1,15,15,6.0,8.0,,,3198.0
Islande,Male,1,1.0,1.0,0.0,1,1,1.0,7.0,6.0,1,7,6,4.0,8.0,,,2858.0
Italie,Female,337,5.53,5.33,37.65,1865,1796,0.83,19.85,185.0,281,6689,62346,13.7,55.3,72.0,59.0,3061.949554896142
Italie,Male,118,8.09,5.13,42.22,955,605,1.22,6.22,23.53,144,734,2777,12.7,11.1,72.0,61.0,3089.8050847457625
Japon,Female,3,0.33,4.33,0.0,1,13,3.33,16.33,178.33,10,49,535,20.0,12.3,66.0,66.0,3087.6666666666665
Kazakhstan,Female,1,1.0,0.0,0.0,1,0,0.0,0.0,1.0,0,0,1,5.0,9.0,100.0,100.0,2859.0
Lettonie,Female,4,20.75,9.0,45.0,83,36,0.0,4.75,27.75,0,19,111,21.0,52.3,75.0,75.0,3200.5
Lituanie,Female,3,1.33,2.67,0.0,4,8,1.0,24.0,115.0,3,72,345,10.3,10.0,66.0,66.0,3197.6666666666665
Luxembourg,Female,8,5.25,0.75,36.25,42,6,17.13,19.63,58.13,137,157,465,14.4,8.4,75.0,50.0,3113.5
Luxembourg,Male,3,0.33,2.33,0.0,1,7,0.0,0.0,0.33,0,0,1,3.3,8.0,100.0,100.0,2856.3333333333335
Malaisie,Female,1,0.0,2.0,0.0,0,2,0.0,7.0,83.0,0,7,83,17.0,18.0,100.0,,3201.0
Martinique,Female,1,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0,0,0,4.0,9.0,100.0,100.0,3204.0
Monaco,Female,6,31.67,4.5,60.83,190,27,0.0,0.17,1.67,0,1,10,34.7,8.0,33.0,33.0,2970.5
Pays-Bas,Female,53,2.64,2.02,31.28,140,107,2.94,30.53,62.11,156,1618,3292,9.8,9.0,69.0,62.0,3109.0377358490564
Pays-Bas,Male,15,4.93,3.33,37.47,74,50,4.8,26.4,72.8,72,396,1092,11.1,10.5,66.0,60.0,3084.6
Pologne,Female,4,2.0,2.25,25.0,8,9,2.5,18.0,31.5,10,72,126,8.0,12.3,50.0,50.0,2942.0
Pologne,Male,2,7.5,0.5,74.5,15,1,0.5,0.0,0.5,1,0,1,11.0,8.0,50.0,50.0,2857.0
Portugal,Female,14,2.14,2.86,37.21,30,40,1.79,32.93,50.07,25,461,701,9.2,9.4,64.0,57.0,3127.285714285714
Portugal,Male,2,1.5,1.0,0.0,3,2,0.0,0.0,3.0,0,0,6,3.5,8.0,50.0,50.0,3196.5
Roumanie,Female,13,3.38,4.15,18.62,44,54,1.08,5.0,31.77,14,65,413,7.6,8.2,69.0,53.0,3121.0
Roumanie,Male,4,6.0,9.75,33.75,24,39,6.0,0.25,96.0,24,1,384,16.5,19.3,75.0,75.0,3113.25
Royaume-Uni,Female,285,5.06,3.24,32.56,1442,922,1.47,8.62,22.69,420,2457,6466,9.1,8.8,49.0,48.0,3050.519298245614
Royaume-Uni,Male,64,5.69,1.61,25.31,364,103,1.59,12.77,8.16,102,817,522,9.6,8.4,71.0,62.0,3070.765625
Russie,Female,3,3.33,1.33,25.67,10,4,0.0,1.33,13.33,0,4,40,8.0,8.7,33.0,33.0,2972.0
République tchèque,Female,1,0.0,1.0,0.0,0,1,0.0,219.0,615.0,0,219,615,7.0,10.0,,,2859.0
Serbie,Female,2,2.5,1.5,50.0,5,3,0.0,0.0,28.0,0,0,56,15.0,8.5,100.0,100.0,3199.5
Singapour,Female,5,2.2,1.6,70.0,11,8,3.0,185.4,266.6,15,927,1333,9.8,18.6,40.0,40.0,3128.8
Slovaquie,Male,2,14.0,7.0,37.0,28,14,0.0,0.5,5.5,0,1,11,10.5,8.5,100.0,100.0,3199.5
Slovénie,Female,1,6.0,0.0,50.0,6,0,23.0,49.0,39.0,23,49,39,34.0,147.0,100.0,100.0,3199.0
Suisse,Female,11,3.55,19.45,32.3,39,214,1.27,15.09,8.45,14,166,93,8.9,8.3,54.0,54.0,3075.3636363636365
Suisse,Male,5,1.2,0.0,0.0,6,0,0.0,0.2,1.0,0,1,5,9.2,8.2,20.0,20.0,2992.8
Suède,Female,30,10.03,7.3,49.0,301,219,5.0,62.7,321.03,150,1881,9631,18.6,24.7,66.0,56.0,3028.5666666666666
Suède,Male,6,5.83,3.0,23.6,35,18,2.33,18.0,17.17,14,108,103,16.8,10.3,83.0,83.0,3086.6666666666665
Taiwan,Female,1,57.0,56.0,98.0,57,56,0.0,0.0,4.0,0,0,4,83.0,8.0,100.0,100.0,2855.0
Ukraine,Female,1,3.0,2.0,0.0,3,2,18.0,707.0,792.0,18,707,792,65.0,157.0,100.0,100.0,3204.0
Îles Canaries,Female,1,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0,0,0,3.0,8.0,,,2857.0
,Female,2127,4.4,3.54,29.46,9354,7523,2.06,18.76,69.99,4387,39896,148873,10.4,22.1,59.0,50.0,3060.948754113775
,Male,592,4.52,2.88,29.88,2673,1706,1.86,9.65,19.89,1103,5715,11774,9.4,15.8,66.0,57.0,3076.1655405405404
,,2719,4.42,3.39,29.55,12027,9229,2.02,16.77,59.08,5490,45611,160647,10.2,20.7,60.0,52.0,3064.261860978301
