country,buyers,topbuyers,topbuyerratio,femalebuyers,malebuyers,topfemalebuyers,topmalebuyers,femalebuyersratio,topfemalebuyersratio,boughtperwishlistratio,boughtperlikeratio,topboughtperwishlistratio,topboughtperlikeratio,totalproductsbought,totalproductswished,totalproductsliked,toptotalproductsbought,toptotalproductswished,toptotalproductsliked,meanproductsbought,meanproductswished,meanproductsliked,topmeanproductsbought,topmeanproductswished,topmeanproductsliked,meanofflinedays,topmeanofflinedays,meanfollowers,meanfollowing,topmeanfollowers,topmeanfollowing
Hongrie,7,2,28.6,7,0,2,0,100.0,100.0,23.08,8.43,79.41,7.52,42,182,498,27,34,359,6.0,26.0,71.1,13.5,17.0,179.5,83.7,13.0,3.9,8.0,5.0,8.0
Slovénie,2,2,100.0,2,0,2,0,100.0,100.0,6.87,46.99,6.87,46.99,39,568,83,39,568,83,19.5,284.0,41.5,19.5,284.0,41.5,27.0,27.0,22.5,80.0,22.5,80.0
Suisse,58,1,1.7,45,13,1,0,77.6,100.0,8.46,12.63,1.37,10.38,137,1620,1085,11,803,106,2.4,27.9,18.7,11.0,803.0,106.0,249.2,11.0,5.3,9.0,9.0,27.0
Irlande,31,1,3.2,23,8,1,0,74.2,100.0,7.29,5.97,14.63,5.77,79,1084,1324,18,123,312,2.5,35.0,42.7,18.0,123.0,312.0,253.2,14.0,5.9,8.8,8.0,8.0
Pologne,29,1,3.4,22,7,1,0,75.9,100.0,33.26,21.1,362.5,59.18,150,451,711,87,24,147,5.2,15.6,24.5,87.0,24.0,147.0,224.2,11.0,5.4,8.8,13.0,9.0
Grèce,20,1,5.0,18,2,1,0,90.0,100.0,16.21,5.81,13.08,6.33,53,327,913,14,107,221,2.7,16.4,45.7,14.0,107.0,221.0,135.3,23.0,8.9,9.3,9.0,17.0
Japon,17,1,5.9,8,9,0,1,47.1,0.0,93.06,7.41,,460.0,67,72,904,23,0,5,3.9,4.2,53.2,23.0,0.0,5.0,278.1,26.0,6.5,9.0,4.0,8.0
Singapour,16,1,6.3,12,4,0,1,75.0,0.0,7.84,3.17,1800.0,1800.0,75,957,2369,36,2,2,4.7,59.8,148.1,36.0,2.0,2.0,191.9,56.0,8.3,12.4,10.0,8.0
Croatie,9,1,11.1,7,2,1,0,77.8,100.0,37.86,24.84,35.71,52.63,39,103,157,20,56,38,4.3,11.4,17.4,20.0,56.0,38.0,174.0,14.0,5.9,8.4,5.0,9.0
Émirats arabes unis,2,1,50.0,2,0,1,0,100.0,100.0,9.09,1.64,14.81,1.59,13,143,795,12,81,755,6.5,71.5,397.5,12.0,81.0,755.0,103.0,92.0,6.5,9.5,8.0,11.0
Macau,2,1,50.0,2,0,1,0,100.0,100.0,14.18,3.54,22.78,3.77,19,134,536,18,79,477,9.5,67.0,268.0,18.0,79.0,477.0,132.0,11.0,9.5,11.5,9.0,8.0
Ukraine,1,1,100.0,1,0,1,0,100.0,100.0,2.55,2.27,2.55,2.27,18,707,792,18,707,792,18.0,707.0,792.0,18.0,707.0,792.0,11.0,11.0,65.0,157.0,65.0,157.0
Cambodge,1,1,100.0,0,1,0,1,0.0,0.0,162.5,243.75,162.5,243.75,39,24,16,39,24,16,39.0,24.0,16.0,39.0,24.0,16.0,22.0,22.0,9.0,9.0,9.0,9.0
Norvège,8,0,0.0,8,0,0,0,100.0,,8.03,9.24,,,11,137,119,0,0,0,1.4,17.1,14.9,,,,242.6,,5.3,8.4,,
Estonie,7,0,0.0,5,2,0,0,71.4,,45.0,25.71,,,9,20,35,0,0,0,1.3,2.9,5.0,,,,351.4,,6.4,8.3,,
Corée du Sud,6,0,0.0,5,1,0,0,83.3,,34.38,5.37,,,11,32,205,0,0,0,1.8,5.3,34.2,,,,238.8,,4.3,8.8,,
République tchèque,6,0,0.0,4,2,0,0,66.7,,19.51,88.89,,,8,41,9,0,0,0,1.3,6.8,1.5,,,,291.8,,4.0,8.2,,
Chypre,5,0,0.0,5,0,0,0,100.0,,5.26,2.47,,,9,171,364,0,0,0,1.8,34.2,72.8,,,,243.0,,5.4,10.6,,
Russie,5,0,0.0,4,1,0,0,80.0,,266.67,25.81,,,8,3,31,0,0,0,1.6,0.6,6.2,,,,285.2,,4.4,8.2,,
Lituanie,4,0,0.0,4,0,0,0,100.0,,5.56,1.11,,,4,72,359,0,0,0,1.0,18.0,89.8,,,,185.8,,9.5,9.5,,
Turquie,3,0,0.0,1,2,0,0,33.3,,80.0,28.57,,,4,5,14,0,0,0,1.3,1.7,4.7,,,,423.0,,3.7,7.7,,
Brésil,3,0,0.0,2,1,0,0,66.7,,14.81,36.36,,,4,27,11,0,0,0,1.3,9.0,3.7,,,,118.7,,5.7,8.3,,
Malaisie,3,0,0.0,3,0,0,0,100.0,,38.46,83.33,,,5,13,6,0,0,0,1.7,4.3,2.0,,,,167.7,,3.3,8.0,,
Israel,3,0,0.0,3,0,0,0,100.0,,18.6,5.56,,,8,43,144,0,0,0,2.7,14.3,48.0,,,,170.7,,3.0,8.0,,
Taiwan,3,0,0.0,2,1,0,0,66.7,,29.03,45.0,,,9,31,20,0,0,0,3.0,10.3,6.7,,,,286.3,,3.7,8.3,,
Islande,2,0,0.0,1,1,0,0,50.0,,9.09,9.52,,,2,22,21,0,0,0,1.0,11.0,10.5,,,,21.0,,5.0,8.0,,
Guadeloupe,2,0,0.0,1,1,0,0,50.0,,33.33,300.0,,,3,9,1,0,0,0,1.5,4.5,0.5,,,,275.0,,4.5,9.0,,
Arabie Saoudite,2,0,0.0,2,0,0,0,100.0,,200.0,8.0,,,2,1,25,0,0,0,1.0,0.5,12.5,,,,32.0,,4.5,8.0,,
Egypte,2,0,0.0,1,1,0,0,50.0,,33.33,4.17,,,3,9,72,0,0,0,1.5,4.5,36.0,,,,33.0,,6.0,9.5,,
Indonésie,2,0,0.0,1,1,0,0,50.0,,,9.09,,,2,0,22,0,0,0,1.0,0.0,11.0,,,,331.5,,5.0,9.5,,
Monaco,2,0,0.0,1,1,0,0,50.0,,80.0,30.77,,,4,5,13,0,0,0,2.0,2.5,6.5,,,,332.5,,4.0,8.0,,
Puerto Rico,2,0,0.0,1,1,0,0,50.0,,3.57,2.61,,,3,84,115,0,0,0,1.5,42.0,57.5,,,,359.0,,4.0,8.0,,
Slovaquie,2,0,0.0,2,0,0,0,100.0,,,,,,2,0,0,0,0,0,1.0,0.0,0.0,,,,459.0,,6.5,9.0,,
Colombie,1,0,0.0,1,0,0,0,100.0,,20.0,1.04,,,1,5,96,0,0,0,1.0,5.0,96.0,,,,12.0,,4.0,10.0,,
Serbie,1,0,0.0,1,0,0,0,100.0,,100.0,5.26,,,1,1,19,0,0,0,1.0,1.0,19.0,,,,13.0,,3.0,8.0,,
Bahreïn,1,0,0.0,1,0,0,0,100.0,,400.0,200.0,,,4,1,2,0,0,0,4.0,1.0,2.0,,,,21.0,,4.0,8.0,,
Nouvelle Zélande,1,0,0.0,1,0,0,0,100.0,,300.0,18.37,,,9,3,49,0,0,0,9.0,3.0,49.0,,,,33.0,,6.0,8.0,,
Malte,1,0,0.0,1,0,0,0,100.0,,,50.0,,,1,0,2,0,0,0,1.0,0.0,2.0,,,,366.0,,3.0,8.0,,
Géorgie,1,0,0.0,1,0,0,0,100.0,,,150.0,,,3,0,2,0,0,0,3.0,0.0,2.0,,,,37.0,,3.0,8.0,,
Pakistan,1,0,0.0,0,1,0,0,0.0,,100.0,100.0,,,1,1,1,0,0,0,1.0,1.0,1.0,,,,431.0,,4.0,9.0,,
Mexique,1,0,0.0,1,0,0,0,100.0,,133.33,4.08,,,4,3,98,0,0,0,4.0,3.0,98.0,,,,61.0,,9.0,13.0,,
Qatar,1,0,0.0,1,0,0,0,100.0,,,,,,1,0,0,0,0,0,1.0,0.0,0.0,,,,692.0,,3.0,8.0,,
